state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1SingA      4.141  1.550  1.002  4.512  4.560  0.585  2.829 -1.095  2.076  2.789  4.214
2SingA      4.142  1.549  1.002  2.959  4.572  0.585  2.832 -0.583  2.083  2.446  4.214
3SingA      4.418  0.000  1.000  1.777  1.739  0.347  1.493  0.493  2.181  2.475  3.128
4SingA      4.476  0.000  1.007  3.656  6.330  0.530  2.936 -0.562  3.169  4.128  4.073
5SingA      4.514  0.002  1.000  1.566  1.519  0.327  1.432  0.659  2.012  2.049  3.088
6SingA      4.514  0.002  1.000  1.548  1.519  0.327  1.432  0.623  2.012  2.048  3.088
7SingA      4.570  0.005  1.001  1.569  1.522  0.321  1.435  0.580  2.059  2.172  3.301
8SingA      4.641  0.000  1.001  2.918  4.017  0.590  3.138 -0.710  2.598  3.301  4.892
9SingA      4.810  0.013  1.001  4.522  2.999  0.402  1.659 -0.721  3.412  4.311  3.414
10SingA     4.811  0.013  1.001  2.954  2.998  0.402  1.659 -0.340  3.413  3.785  3.414
