state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1SingA      4.427  0.000  1.003  3.559  5.061  0.568  2.618 -1.173  3.031  3.876  4.145
2SingA      4.444  0.000  1.000  1.619  1.545  0.316  1.432  0.449  2.069  2.215  2.789
3SingA      4.446  0.035  1.003  4.150  3.658  0.587  2.305 -1.534  2.272  2.964  4.215
4SingA      4.446  0.035  1.002  2.999  3.499  0.586  2.281 -1.010  2.175  2.972  4.210
5SingA      4.537  0.001  1.000  1.554  1.500  0.311  1.415  0.515  2.037  2.127  2.839
6SingA      4.538  0.001  1.000  1.545  1.502  0.311  1.416  0.527  2.039  2.130  2.841
7SingA      4.595  0.005  1.001  1.515  1.467  0.298  1.397  0.505  2.062  2.178  2.967
8SingA      4.790  0.083  1.004  4.248  5.408  0.482  2.444 -0.446  2.929  4.179  3.739
9SingA      4.793  0.842  1.004  5.318  4.580  0.460  2.068 -0.361  2.425  3.194  3.471
10SingA     4.794  0.831  1.004  3.093  3.309  0.460  2.047 -0.154  1.703  2.576  3.476
