state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1SingA      4.141  0.002  1.001  4.394  3.828  0.808  2.368 -2.137  2.190  2.698  5.333
2SingA      4.143  0.026  1.001  4.041  3.094  0.810  2.213 -1.960  1.752  2.246  5.343
3SingA      4.147  0.023  1.001  2.841  2.646  0.811  2.101 -1.316  1.485  1.828  5.347
4SingA      4.425  0.123  1.003  5.962  1.959  0.068  1.067  0.042  2.447  3.775  3.379
5SingA      4.426  0.122  1.003  4.042  2.246  0.070  1.067  0.051  2.807  3.816  3.371
6SingA      4.432  0.001  1.004  4.841  3.162  0.064  1.066  0.050  3.985  5.057  3.378
7SingA      4.439  0.002  1.000  1.551  1.509  0.306  1.402  0.525  2.065  2.209  2.773
8SingA      4.529  0.000  1.000  1.540  1.483  0.313  1.411  0.558  2.017  2.066  2.872
9SingA      4.531  0.002  1.000  1.524  1.483  0.312  1.411  0.524  2.017  2.071  2.864
10SingA     4.587  0.004  1.001  1.523  1.474  0.303  1.402  0.499  2.061  2.179  3.021
